2018-09-08 IP-2599676 19036,20326 1
2018-09-08 IP-0765393 19036,20326 12
2018-09-08 IP-1502611 19036,20326 1
2018-09-08 IP-2192437 19036,20326 2
2018-09-08 IP-1464927 19036,20326 5
2018-09-08 IP-1464935 19036,20326 1
2018-09-08 IP-2235275 19036,20326 135
2018-09-08 IP-2470652 19036,20326 2
2018-09-08 IP-2698873 19036,20326 1
2018-09-08 IP-2640766 19036,20326 2
2018-09-08 IP-2698874 19036,20326 12
2018-09-08 IP-2698875 19036,20326 1
2018-09-08 IP-2626655 19036,20326 1
2018-09-08 IP-2684605 19036,20326 1
2018-09-08 IP-2599684 19036,20326 32
2018-09-08 IP-1643788 19036,20326 1
2018-09-08 IP-2684606 19036,20326 1
2018-09-08 IP-2145801 19036,20326 12
2018-09-08 IP-2655356 19036,20326 13
2018-09-08 IP-2698876 19036,20326 2
2018-09-08 IP-2640770 19036,20326 27
2018-09-08 IP-2684610 19036,20326 1
2018-09-08 IP-2655361 19036,20326 1
2018-09-08 IP-2698877 19036,20326 2
2018-09-08 IP-2698878 19036,20326 1
2018-09-08 IP-2698879 19036,20326 1
2018-09-08 IP-2526501 19036,20326 2
2018-09-08 IP-2296320 19036,20326 1
2018-09-08 IP-2021344 19036,20326 1
2018-09-08 IP-2698880 19036,20326 3
2018-09-08 IP-2698881 19036 1
2018-09-08 IP-1910580 19036,20326 37
2018-09-08 IP-1502640 19036,20326 1
2018-09-08 IP-1502641 19036,20326 1
2018-09-08 IP-2698882 19036,20326 1
2018-09-08 IP-1464975 19036,20326 13
2018-09-08 IP-2037253 19036,20326 1
2018-09-08 IP-1430576 19036,20326 24
2018-09-08 IP-0734789 19036,20326 5
2018-09-08 IP-1833768 19036,20326 24
2018-09-08 IP-0876629 19036,20326 1
2018-09-08 IP-1464980 19036,20326 1
2018-09-08 IP-2698883 19036,20326 2
2018-09-08 IP-1643817 19036,20326 1
2018-09-08 IP-1366707 19036,20326 1
2018-09-08 IP-1502644 19036,20326 2
2018-09-08 IP-0939197 19036,20326 1
2018-09-08 IP-2485363 19036,20326 9
2018-09-08 IP-2470666 19036,20326 1
2018-09-08 IP-2698884 19036,20326 2
2018-09-08 IP-2698885 19036,20326 1
2018-09-08 IP-2338691 19036,20326 1
2018-09-08 IP-2684613 19036,20326 1
2018-09-08 IP-2640780 19036,20326 2
2018-09-08 IP-2177140 19036,20326 1
2018-09-08 IP-2698886 19036,20326 1
2018-09-08 IP-2613509 19036,20326 1
2018-09-08 IP-1959888 19036,20326 1
2018-09-08 IP-2626670 19036,20326 1
2018-09-08 IP-1607913 19036,20326 4
2018-09-08 IP-2383892 19036,20326 1
2018-09-08 IP-1031789 19036,20326 7
2018-09-08 IP-2161505 19036,20326 1
2018-09-08 IP-0860976 19036,20326 1
2018-09-08 IP-1675621 19036,20326 1
2018-09-08 IP-1850175 19036,20326 1
2018-09-08 IP-2640782 19036,20326 1
2018-09-08 IP-2053438 19036,20326 1
2018-09-08 IP-2684618 19036,20326 1
2018-09-08 IP-2669942 19036,20326 1
2018-09-08 IP-2698887 19036,20326 1
2018-09-08 IP-2626674 19036,20326 2
2018-09-08 IP-0016080 19036,20326 1
2018-09-08 IP-0749422 19036,20326 1
